"filename", "language", "HTML", "JSON", "JavaScript", "Handlebars", "CSS", "comment", "blank", "total"
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\app.js", "JavaScript", 0, 0, 104, 0, 0, 5, 20, 129
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\controllers\CommentsController.js", "JavaScript", 0, 0, 49, 0, 0, 0, 4, 53
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\controllers\NotificationsController.js", "JavaScript", 0, 0, 74, 0, 0, 0, 5, 79
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\controllers\PostsController.js", "JavaScript", 0, 0, 107, 0, 0, 0, 7, 114
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\controllers\UsersController.js", "JavaScript", 0, 0, 100, 0, 0, 0, 5, 105
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\credentials.js", "JavaScript", 0, 0, 9, 0, 0, 3, 1, 13
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\db.js", "JavaScript", 0, 0, 17, 0, 0, 0, 3, 20
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\draft.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 12
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\models\Comment.js", "JavaScript", 0, 0, 11, 0, 0, 0, 4, 15
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\models\Notification.js", "JavaScript", 0, 0, 13, 0, 0, 0, 4, 17
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\models\Post.js", "JavaScript", 0, 0, 13, 0, 0, 0, 4, 17
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\models\User.js", "JavaScript", 0, 0, 15, 0, 0, 0, 4, 19
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\package-lock.json", "JSON", 0, 2709, 0, 0, 0, 0, 1, 2710
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\package.json", "JSON", 0, 26, 0, 0, 0, 0, 1, 27
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\public\javascripts\main.js", "JavaScript", 0, 0, 635, 0, 0, 6, 30, 671
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\public\stylesheets\style.css", "CSS", 0, 0, 0, 0, 224, 0, 5, 229
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\comments.js", "JavaScript", 0, 0, 13, 0, 0, 0, 4, 17
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\index.js", "JavaScript", 0, 0, 64, 0, 0, 0, 9, 73
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\notifications.js", "JavaScript", 0, 0, 32, 0, 0, 0, 5, 37
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\posts.js", "JavaScript", 0, 0, 19, 0, 0, 0, 5, 24
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\users.js", "JavaScript", 0, 0, 38, 0, 0, 0, 5, 43
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\test.html", "HTML", 39, 0, 0, 0, 0, 4, 7, 50
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\utils.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 3
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\admin.hbs", "Handlebars", 0, 0, 0, 128, 0, 0, 8, 136
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\createacc.hbs", "Handlebars", 0, 0, 0, 133, 0, 0, 1, 134
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\error.hbs", "Handlebars", 0, 0, 0, 3, 0, 0, 1, 4
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\faculty.hbs", "Handlebars", 0, 0, 0, 160, 0, 0, 9, 169
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\index.hbs", "Handlebars", 0, 0, 0, 183, 0, 0, 13, 196
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\layout.hbs", "Handlebars", 0, 0, 0, 27, 0, 0, 6, 33
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\login.hbs", "Handlebars", 0, 0, 0, 16, 0, 0, 1, 17
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\notidetail.hbs", "Handlebars", 0, 0, 0, 46, 0, 0, 7, 53
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\notification.hbs", "Handlebars", 0, 0, 0, 108, 0, 0, 4, 112
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\profile.hbs", "Handlebars", 0, 0, 0, 138, 0, 0, 12, 150
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\settings.hbs", "Handlebars", 0, 0, 0, 94, 0, 0, 3, 97
"Total", "-", 51, 2735, 1316, 1036, 224, 18, 198, 5578